Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp
0,0,0,0,0,0,0,0,12.295,0.601,3.135494,-1.777161,20.928,0.26,3.713572,-1.323381,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,11.736,0.664,3.091042,-1.821612,19.756,0.269,3.688879,-1.348073,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,12.97,0.731,3.044522,-1.868132,17.994,0.283,3.663562,-1.373391,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,12.97,0.731,2.995732,-1.916923,16.119,0.313,3.637586,-1.399366,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,14.319,0.734,2.944439,-1.968216,18.683,0.322,3.610918,-1.426035,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,10.017,0.736,2.890372,-2.022283,17.495,0.404,3.583519,-1.453434,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,11.968,0.846,2.833213,-2.079442,19.808,0.404,3.555348,-1.481605,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,10.063,0.861,2.772589,-2.140066,17.861,0.442,3.526361,-1.510592,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,10.312,1.075,2.70805,-2.204605,20.188,0.464,3.496508,-1.540445,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,13.124,1.238,2.639057,-2.273598,20.497,0.5,3.465736,-1.571217,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,14.685,1.7,2.564949,-2.347706,19.989,0.506,3.433987,-1.602965,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,12.196,1.991,2.484907,-2.427748,17.818,0.548,3.401197,-1.635755,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,10.432,2.061,2.397895,-2.51476,18.226,0.563,3.367296,-1.669657,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,13.742,2.105,2.302585,-2.61007,20.85,0.57,3.332205,-1.704748,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,12.79,3.21,2.197225,-2.71543,19.354,0.609,3.295837,-1.741116,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,14.696,3.66,2.079442,-2.833213,19.1,0.63,3.258097,-1.778856,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,14.507,5.585,1.94591,-2.966745,18.743,0.631,3.218876,-1.818077,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,14.03,6.42,1.791759,-3.120895,16.376,0.658,3.178054,-1.858899,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,14.007,7.224,1.609438,-3.303217,18.797,0.658,3.135494,-1.901458,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,11.115,12.717,1.386294,-3.526361,20.123,0.697,3.091042,-1.94591,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,13.541,34.29,1.098612,-3.814043,18.817,0.699,3.044522,-1.99243,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,12.605,34.374,0.693147,-4.219508,20.308,0.712,2.995732,-2.04122,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,12.759,58.138,0,-4.912655,20.732,0.754,2.944439,-2.092514,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,16.255,0.814,2.890372,-2.146581,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,15.686,1.55,2.833213,-2.203739,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,15.806,1.648,2.772589,-2.264364,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,17.357,1.678,2.70805,-2.328902,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,19.592,1.814,2.639057,-2.397895,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,18.685,1.984,2.564949,-2.472003,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,15.738,2.73,2.484907,-2.552046,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,19.538,3.015,2.397895,-2.639057,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,19.676,3.903,2.302585,-2.734368,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,18.193,4.793,2.197225,-2.839728,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,19.16,5.069,2.079442,-2.957511,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,15.602,6.057,1.94591,-3.091042,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,16.49,6.242,1.791759,-3.245193,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,16.524,7.653,1.609438,-3.427515,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,18.278,18.464,1.386294,-3.650658,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,19.273,25.714,1.098612,-3.93834,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,21.104,37.078,0.693147,-4.343805,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,15.933,43.36,0,-5.036953,0,0,0,0,0,0,0,0,,,
